Ankunft am Waldrand

Karin k
Octa o
Prota p
Narrator n
Evelynn e
Anja a
Heidenau h
Mutter m
Randy r
Louis l
Kindergruppe kg

kg "brabbel"
k "Kinder..."
kg "brabbel"
k "Kinder wenn ich..."
kg "brabbel"
h "KINDER! RUHE!"
kg "..."
n "Wow das war laut! Sogar Anja ist ruhig."
k "Tschuldigung, aber ich brauch nur mal kurz eure Aufmerksamkeit."
k "Wir sind ja jetzt hier am Wald angekommen. Aber bevor wir aus dem Bus aussteigen und uns auf den Weg zur Bernerhütte machen, müssen wir noch einige Regeln klären."
h "Also zuhören!"
k "Ja äh genau... also Regel 1."
k "Regel 1 ist einfach. Ihr bleibt immer bei der Gruppe."
k "Regel 2 ist, dass wir euch in Paare einteilen. Euer Sitznachbar ist auch euer ... äh wie hatten sie das nochmal genannt Frau Heidenau?
h "Marschpartner."
k "Genau euer Sitznachbar ist euer Marschpartner."
k "Ach und Regel 3 ist das ihr nichts ohne unsere Erlaubnis im Wald sammelt. Das ist nämlich gefährlich."
h "Wenn ich jemanden von euch etwas aufsammeln sehe dann gnade euch Gott."
h "Denn ich werde nicht so gnädig sein. Verstanden?"
kg "..."
h "Verstanden?!"
kg "Ja."
h "Ich meine hier auch ganz explizit dich Louis."
h "Wenn du nur daran denkst was in deine Jacke zu stecken, dann war es das letzte Mal, dass du deine Jacke gesehen hast."
l "..." *angsterfülltes gesicht*
k "Nun...äh...gut."
k "Dann mal los. Schnappt euren Marschpartner und folgt mir."

menu (Bei wem hast du die meiste Affinity):
